,id,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews
30127,1194180616617323541,San Nicolas,-34.60648,-58.37406,Entire home/apt,33754.0,1,42
30128,1194199555561811300,Floresta,-34.63136960014295,-58.48301773157954,Private room,33607.0,1,0
30130,1194306612477291233,Palermo,-34.5830991,-58.427676,Entire home/apt,84332.0,3,5
30132,1194370944014642685,Palermo,-34.579564193037214,-58.414729189828016,Entire home/apt,33607.0,1,3
30133,1194397575018116023,Recoleta,-34.58736682998859,-58.3962614347225,Entire home/apt,39761.0,2,33
30134,1194434257735152067,San Nicolas,-34.60204,-58.37852,Entire home/apt,20406.0,2,11
30135,1194470512054351643,Palermo,-34.5836017,-58.4233881,Entire home/apt,47260.0,2,3
30136,1194863690084068318,Palermo,-34.59012,-58.42365,Entire home/apt,92440.0,1,13
30137,1194871881331999750,San Nicolas,-34.6044127,-58.3835205,Entire home/apt,34510.0,1,63
30138,1194908011711873632,Balvanera,-34.60185384954297,-58.39616010299565,Entire home/apt,26255.0,3,2
30139,1194949836580639026,Palermo,-34.5904231,-58.4172308,Entire home/apt,44078.0,2,22
30140,1194990995807490771,Retiro,-34.59546957766187,-58.37321240701208,Entire home/apt,34993.0,2,7
30141,1195004659604394754,Chacarita,-34.58274,-58.44749,Entire home/apt,43510.0,3,1
30142,1195073271639726943,Palermo,-34.5888461,-58.4325199,Entire home/apt,48457.0,1,45
30143,1195097232374307530,Recoleta,-34.59689127194968,-58.40888146576107,Entire home/apt,35287.0,7,2
30144,1195139565609418641,Monserrat,-34.6130787,-58.389019,Entire home/apt,52511.0,7,0
30145,1195336957795857517,Caballito,-34.6115218,-58.4410758,Private room,18904.0,1,5
30146,1195496787474993166,Retiro,-34.5978427,-58.38027639999999,Entire home/apt,20910.0,1,35
30147,1195535756686964549,Retiro,-34.5978427,-58.38027639999999,Entire home/apt,20910.0,1,24
30149,1195584532556606468,Colegiales,-34.57905354971832,-58.442583233729565,Entire home/apt,82967.0,30,5
30151,1195612664372912829,Retiro,-34.5978427,-58.38027639999999,Entire home/apt,20910.0,1,24
30152,1195647532246473526,Nuñez,-34.5509622,-58.4705975,Entire home/apt,22506.0,2,6
30153,1195710819561320333,Almagro,-34.5990722,-58.413908,Entire home/apt,28650.0,3,1
30155,1195770626817216172,Chacarita,-34.58591764530819,-58.44343103499981,Entire home/apt,36758.0,2,4
30156,1195774342026217065,Retiro,-34.59925012246519,-58.38636803841326,Entire home/apt,33607.0,3,9
30157,1195789274722045455,Constitucion,-34.62677774056446,-58.38259052485228,Private room,14703.0,1,2
30158,1195791097506967990,Recoleta,-34.59062248781968,-58.39529268377031,Entire home/apt,42009.0,5,0
30159,1195809928598382126,Palermo,-34.56883,-58.43324,Entire home/apt,47260.0,1,8
30160,1195859838538597544,Recoleta,-34.596314285097954,-58.413475155830376,Entire home/apt,31811.0,1,14
30161,1195860448878143752,Palermo,-34.5892,-58.41991,Entire home/apt,42009.0,2,5
30162,1195865680706923836,Saavedra,-34.54777910441276,-58.47126636654139,Entire home/apt,40811.0,2,7
30163,1195880671510696198,San Telmo,-34.61991,-58.37037,Entire home/apt,147030.0,1,0
30164,1195935475037758439,Palermo,-34.5780095,-58.43352119999999,Entire home/apt,50106.0,2,15
30165,1195948614596765055,Saavedra,-34.54675816275181,-58.47258647647968,Entire home/apt,35109.0,2,4
30167,1196218849913769264,Villa Crespo,-34.59411,-58.44078,Entire home/apt,36758.0,4,2
30168,1196296546893557132,Palermo,-34.57963,-58.43244,Entire home/apt,90014.0,2,2
30169,1196304592702032495,Monserrat,-34.61401308871156,-58.38595181553762,Private room,11552.0,7,5
30170,1196329229499762659,Almagro,-34.61156,-58.4197,Entire home/apt,39908.0,2,13
30172,1196361360594552377,Villa Crespo,-34.5965999,-58.440421,Entire home/apt,42009.0,3,8
30173,1196363488988490689,Palermo,-34.58490656472359,-58.41970961686025,Entire home/apt,22055.0,2,16
